1706516160095: 1kg
1706516176979: 0.9kg
1706516177102: 0.6kg
1706516177165: 0.5kg
1706516177413: 0.4kg
1706516177475: 0.2kg
1706516177666: 0.1kg
1706516177913: 0kg
1706516182090: 1.1kg
1706516182215: 27.6kg
1706516182277: 71.6kg
1706516182400: 77.8kg
1706516182467: 78.2kg
1706516182590: 78.4kg
1706516182714: 78.1kg
1706516182775: 76.4kg
1706516182898: 74.7kg
1706516183022: 72.7kg
1706516183083: 71.6kg
1706516183207: 71kg
1706516183268: 70.8kg
1706516183392: 70.6kg
1706516183517: 70.3kg
1706516183578: 70.9kg
1706516183702: 71.2kg
1706516183768: 71.3kg
1706516183892: 72.9kg
1706516184017: 73.6kg
1706516184078: 73.5kg
1706516184201: 72.9kg
1706516184269: 71.2kg
1706516184391: 70.4kg
1706516184516: 70kg
1706516184578: 70.7kg
1706516184701: 72kg
1706516184768: 73.8kg
1706516184891: 74.7kg
1706516185016: 74.6kg
1706516185077: 74.1kg
1706516185202: 72.7kg
1706516185327: 71kg
1706516185387: 70.2kg
1706516185511: 69.8kg
1706516185572: 69.6kg
1706516185695: 70.4kg
1706516185819: 71.7kg
1706516185880: 72.8kg
1706516186004: 73.5kg
1706516186070: 73.8kg
1706516186192: 74.1kg
1706516186317: 73kg
1706516186379: 71.8kg
1706516186503: 71kg
1706516186569: 70.3kg
1706516186693: 70kg
1706516186817: 69.8kg
1706516186879: 67.4kg
1706516187002: 42.7kg
1706516187069: 9.2kg
1706516187192: 0.3kg
1706516187317: 0.1kg
1706516187502: 0kg
1706516381700: 0kg
1706516393012: 0kg
